import time: self [us] | cumulative | imported package
import time:        79 |         79 |   _io
import time:        16 |         16 |   marshal
import time:       164 |        164 |   posix
import time:       203 |        460 | _frozen_importlib_external
import time:       636 |        636 |   time
import time:        70 |        706 | zipimport
import time:        23 |         23 |     _codecs
import time:       170 |        192 |   codecs
import time:       469 |        469 |   encodings.aliases
import time:       534 |       1195 | encodings
import time:       244 |        244 | encodings.utf_8
import time:        33 |         33 | _signal
import time:        11 |         11 |     _abc
import time:        63 |         74 |   abc
import time:        72 |        146 | io
import time:        20 |         20 |       _stat
import time:        33 |         52 |     stat
import time:       386 |        386 |     _collections_abc
import time:        21 |         21 |       genericpath
import time:        32 |         52 |     posixpath
import time:       164 |        653 |   os
import time:        32 |         32 |   _sitebuiltins
import time:       294 |        294 |         types
import time:        32 |         32 |           _operator
import time:       303 |        335 |         operator
import time:        40 |         40 |             itertools
import time:       184 |        184 |             keyword
import time:       226 |        226 |             reprlib
import time:        59 |         59 |             _collections
import time:       545 |       1052 |           collections
import time:        21 |         21 |           _functools
import time:       494 |       1565 |         functools
import time:       903 |       3096 |       enum
import time:        26 |         26 |         _sre
import time:       257 |        257 |           re._constants
import time:       368 |        624 |         re._parser
import time:       187 |        187 |         re._casefix
import time:       385 |       1220 |       re._compiler
import time:       569 |        569 |       copyreg
import time:       418 |       5301 |     re
import time:       672 |       5972 |   sitecustomize
import time:       631 |       7286 | site
import time:       655 |        655 |     fnmatch
import time:        77 |         77 |       _winapi
import time:        49 |         49 |       nt
import time:        40 |         40 |       nt
import time:        35 |         35 |       nt
import time:        34 |         34 |       nt
import time:        34 |         34 |       nt
import time:        60 |        327 |     ntpath
import time:       407 |        407 |     warnings
import time:        25 |         25 |     errno
import time:       204 |        204 |       urllib
import time:       837 |        837 |       ipaddress
import time:      1002 |       2042 |     urllib.parse
import time:       702 |       4156 |   pathlib
import time:       480 |        480 |     collections.abc
import time:       485 |        485 |     contextlib
import time:       589 |        589 |     _typing
import time:      1351 |       2903 |   typing
import time:       549 |        549 |             numpy.version
import time:       277 |        277 |             numpy._expired_attrs_2_0
import time:       579 |        579 |                 numpy._utils._convertions
import time:       280 |        858 |               numpy._utils
import time:       253 |       1110 |             numpy._globals
import time:        15 |         15 |               numpy._distributor_init_local
import time:       246 |        260 |             numpy._distributor_init
import time:       611 |        611 |                         math
import time:       546 |        546 |                         _datetime
import time:       724 |       1881 |                       datetime
import time:       324 |        324 |                       numpy.exceptions
import time:       394 |        394 |                       numpy._core._exceptions
import time:       497 |        497 |                           _contextvars
import time:       366 |        862 |                         contextvars
import time:       204 |       1065 |                       numpy._core.printoptions
import time:       183 |        183 |                       numpy.dtypes
import time:      9421 |      13266 |                     numpy._core._multiarray_umath
import time:       698 |        698 |                           _ast
import time:       934 |       1631 |                         ast
import time:       648 |        648 |                             _opcode
import time:       591 |       1239 |                           opcode
import time:       760 |       1999 |                         dis
import time:       400 |        400 |                           importlib
import time:        62 |        462 |                         importlib.machinery
import time:       255 |        255 |                             token
import time:       769 |       1023 |                           tokenize
import time:       430 |       1452 |                         linecache
import time:      1266 |       6808 |                       inspect
import time:       397 |        397 |                       numpy._utils._inspect
import time:       607 |       7811 |                     numpy._core.overrides
import time:      1535 |      22610 |                   numpy._core.multiarray
import time:       284 |        284 |                   numpy._core.umath
import time:       633 |        633 |                     numbers
